"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 02 22:42:02 ICT 2024","Sat Mar 02 22:42:04 ICT 2024","2198","","Product Filtering by Price Low to High: Annisa filters products by price low to high","","","","Given Annisa is on the login page",""
"passed","Sat Mar 02 22:41:48 ICT 2024","Sat Mar 02 22:41:48 ICT 2024","261","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","When Annisa adds the product to the cart",""
"passed","Sat Mar 02 22:41:50 ICT 2024","Sat Mar 02 22:41:50 ICT 2024","2","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","",""
"passed","Sat Mar 02 22:41:49 ICT 2024","Sat Mar 02 22:41:50 ICT 2024","281","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","And Annisa clicks the finish button",""
"passed","Sat Mar 02 22:41:53 ICT 2024","Sat Mar 02 22:41:53 ICT 2024","311","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","Given Annisa is on the login page",""
"passed","Sat Mar 02 22:41:56 ICT 2024","Sat Mar 02 22:41:56 ICT 2024","67","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","And Annisa clicks the finish button",""
"passed","Sat Mar 02 22:41:54 ICT 2024","Sat Mar 02 22:41:54 ICT 2024","167","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","Then Annisa should see home page",""
"passed","Sat Mar 02 22:41:55 ICT 2024","Sat Mar 02 22:41:55 ICT 2024","116","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","When Annisa adds the product to the cart",""
"passed","Sat Mar 02 22:41:08 ICT 2024","Sat Mar 02 22:41:10 ICT 2024","2228","","Swag Labs - Login - Positive: As a standard_user, I want to log in successfully","","","","When Annisa login with ""standard_user"" credential",""
"passed","Sat Mar 02 22:41:47 ICT 2024","Sat Mar 02 22:41:47 ICT 2024","43","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","Then Annisa should see home page",""
"passed","Sat Mar 02 22:41:55 ICT 2024","Sat Mar 02 22:41:56 ICT 2024","789","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","When Annisa completes the checkout process with ""<first name>"", ""<last name>"", and ""<postal code>""",""
"passed","Sat Mar 02 22:41:48 ICT 2024","Sat Mar 02 22:41:48 ICT 2024","1","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","Then Annisa should see the product in the cart",""
"passed","Sat Mar 02 22:41:49 ICT 2024","Sat Mar 02 22:41:49 ICT 2024","807","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","When Annisa completes the checkout process with ""<first name>"", ""<last name>"", and ""<postal code>""",""
"passed","Sat Mar 02 22:41:44 ICT 2024","Sat Mar 02 22:41:45 ICT 2024","1599","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","Given Annisa is on the login page",""
"passed","Sat Mar 02 22:41:33 ICT 2024","Sat Mar 02 22:41:34 ICT 2024","902","","Swag Labs - Login - Negative: As a locked_out_user, I should get error message","","","","When Annisa login with ""locked_out_user"" credential",""
"passed","Sat Mar 02 22:41:50 ICT 2024","Sat Mar 02 22:41:50 ICT 2024","46","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","Then Annisa should see the order success message",""
"passed","Sat Mar 02 22:41:48 ICT 2024","Sat Mar 02 22:41:48 ICT 2024","1","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","When Annisa views the details of the product",""
"passed","Sat Mar 02 22:41:47 ICT 2024","Sat Mar 02 22:41:48 ICT 2024","782","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","Given Annisa is on the product detail page",""
"passed","Sat Mar 02 22:42:06 ICT 2024","Sat Mar 02 22:42:06 ICT 2024","1","","Product Filtering by Price Low to High: Annisa filters products by price low to high","","","","",""
"passed","Sat Mar 02 22:42:05 ICT 2024","Sat Mar 02 22:42:06 ICT 2024","1060","","Product Filtering by Price Low to High: Annisa filters products by price low to high","","","","Given Annisa is on the home page",""
"skipped","Sat Mar 02 22:42:09 ICT 2024","Sat Mar 02 22:42:09 ICT 2024","1","","Product Filtering by Price Low to High: Annisa filters products by price low to high","","","","Then Annisa should see the products sorted by ""Price (low to high)""",""
"passed","Sat Mar 02 22:41:34 ICT 2024","Sat Mar 02 22:41:34 ICT 2024","1","","Swag Labs - Login - Negative: As a locked_out_user, I should get error message","","","","",""
"passed","Sat Mar 02 22:42:05 ICT 2024","Sat Mar 02 22:42:05 ICT 2024","51","","Product Filtering by Price Low to High: Annisa filters products by price low to high","","","","Then Annisa should see home page",""
"passed","Sat Mar 02 22:41:40 ICT 2024","Sat Mar 02 22:41:40 ICT 2024","1","","Swag Labs - Login - Negative: As a locked_out_user, I should get error message","","","","",""
"passed","Sat Mar 02 22:41:23 ICT 2024","Sat Mar 02 22:41:23 ICT 2024","3","","Swag Labs - Login - Positive: As a standard_user, I want to log in successfully","","","","",""
"passed","Sat Mar 02 22:42:08 ICT 2024","Sat Mar 02 22:42:08 ICT 2024","85","","Product Filtering by Price Low to High: Annisa filters products by price low to high","","","","Then Annisa should see home page",""
"passed","Sat Mar 02 22:41:45 ICT 2024","Sat Mar 02 22:41:47 ICT 2024","1353","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","When Annisa login with ""standard_user"" credential",""
"passed","Sat Mar 02 22:41:11 ICT 2024","Sat Mar 02 22:41:11 ICT 2024","2","","Swag Labs - Login - Positive: As a standard_user, I want to log in successfully","","","","",""
"passed","Sat Mar 02 22:40:58 ICT 2024","Sat Mar 02 22:41:21 ICT 2024","22389","","Swag Labs - Login - Positive: As a standard_user, I want to log in successfully","","","","Given Annisa is on the login page",""
"passed","Sat Mar 02 22:42:09 ICT 2024","Sat Mar 02 22:42:09 ICT 2024","1","","Product Filtering by Price Low to High: Annisa filters products by price low to high","","","","",""
"passed","Sat Mar 02 22:41:55 ICT 2024","Sat Mar 02 22:41:55 ICT 2024","2","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","When Annisa views the details of the product",""
"passed","Sat Mar 02 22:41:10 ICT 2024","Sat Mar 02 22:41:11 ICT 2024","114","","Swag Labs - Login - Positive: As a standard_user, I want to log in successfully","","","","And Annisa should see home page",""
"passed","Sat Mar 02 22:41:48 ICT 2024","Sat Mar 02 22:41:48 ICT 2024","67","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","Then Annisa should see the product details page",""
"passed","Sat Mar 02 22:41:34 ICT 2024","Sat Mar 02 22:41:34 ICT 2024","73","","Swag Labs - Login - Negative: As a locked_out_user, I should get error message","","","","Then Annisa should see error ""Epic sadface: Sorry, this user has been locked out.""",""
"passed","Sat Mar 02 22:42:08 ICT 2024","Sat Mar 02 22:42:08 ICT 2024","129","","Product Filtering by Price Low to High: Annisa filters products by price low to high","","","","Given Annisa is on the home page",""
"passed","Sat Mar 02 22:40:59 ICT 2024","Sat Mar 02 22:41:08 ICT 2024","9042","","Swag Labs - Login - Positive: As a standard_user, I want to log in successfully","","","","Given Annisa is on the login page",""
"passed","Sat Mar 02 22:41:54 ICT 2024","Sat Mar 02 22:41:55 ICT 2024","329","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","Given Annisa is on the product detail page",""
"passed","Sat Mar 02 22:42:04 ICT 2024","Sat Mar 02 22:42:05 ICT 2024","851","","Product Filtering by Price Low to High: Annisa filters products by price low to high","","","","When Annisa login with ""standard_user"" credential",""
"passed","Sat Mar 02 22:41:21 ICT 2024","Sat Mar 02 22:41:23 ICT 2024","2546","","Swag Labs - Login - Positive: As a standard_user, I want to log in successfully","","","","When Annisa login with ""standard_user"" credential",""
"passed","Sat Mar 02 22:41:38 ICT 2024","Sat Mar 02 22:41:39 ICT 2024","1226","","Swag Labs - Login - Negative: As a locked_out_user, I should get error message","","","","Given Annisa is on the login page",""
"passed","Sat Mar 02 22:41:48 ICT 2024","Sat Mar 02 22:41:49 ICT 2024","801","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","Given Annisa is on the cart page",""
"passed","Sat Mar 02 22:41:56 ICT 2024","Sat Mar 02 22:41:56 ICT 2024","56","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","Then Annisa should see the order success message",""
"passed","Sat Mar 02 22:42:07 ICT 2024","Sat Mar 02 22:42:08 ICT 2024","1068","","Product Filtering by Price Low to High: Annisa filters products by price low to high","","","","When Annisa login with ""standard_user"" credential",""
"passed","Sat Mar 02 22:42:06 ICT 2024","Sat Mar 02 22:42:06 ICT 2024","308","","Product Filtering by Price Low to High: Annisa filters products by price low to high","","","","When Annisa filters products by ""Price (low to high)""",""
"passed","Sat Mar 02 22:41:40 ICT 2024","Sat Mar 02 22:41:40 ICT 2024","145","","Swag Labs - Login - Negative: As a locked_out_user, I should get error message","","","","Then Annisa should see error ""Epic sadface: Sorry, this user has been locked out.""",""
"passed","Sat Mar 02 22:41:39 ICT 2024","Sat Mar 02 22:41:40 ICT 2024","680","","Swag Labs - Login - Negative: As a locked_out_user, I should get error message","","","","When Annisa login with ""locked_out_user"" credential",""
"skipped","Sat Mar 02 22:42:06 ICT 2024","Sat Mar 02 22:42:06 ICT 2024","0","","Product Filtering by Price Low to High: Annisa filters products by price low to high","","","","Then Annisa should see the products sorted by ""Price (low to high)""",""
"passed","Sat Mar 02 22:41:53 ICT 2024","Sat Mar 02 22:41:54 ICT 2024","1439","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","When Annisa login with ""standard_user"" credential",""
"passed","Sat Mar 02 22:41:56 ICT 2024","Sat Mar 02 22:41:56 ICT 2024","1","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","",""
"passed","Sat Mar 02 22:41:31 ICT 2024","Sat Mar 02 22:41:33 ICT 2024","1647","","Swag Labs - Login - Negative: As a locked_out_user, I should get error message","","","","Given Annisa is on the login page",""
"passed","Sat Mar 02 22:41:55 ICT 2024","Sat Mar 02 22:41:55 ICT 2024","134","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","Then Annisa should see the product details page",""
"skipped","Sat Mar 02 22:41:23 ICT 2024","Sat Mar 02 22:41:23 ICT 2024","1","","Swag Labs - Login - Positive: As a standard_user, I want to log in successfully","","","","And Annisa should see home page",""
"passed","Sat Mar 02 22:42:05 ICT 2024","Sat Mar 02 22:42:07 ICT 2024","2449","","Product Filtering by Price Low to High: Annisa filters products by price low to high","","","","Given Annisa is on the login page",""
"passed","Sat Mar 02 22:41:55 ICT 2024","Sat Mar 02 22:41:55 ICT 2024","119","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","Given Annisa is on the cart page",""
"passed","Sat Mar 02 22:42:08 ICT 2024","Sat Mar 02 22:42:09 ICT 2024","264","","Product Filtering by Price Low to High: Annisa filters products by price low to high","","","","When Annisa filters products by ""Price (low to high)""",""
"passed","Sat Mar 02 22:41:55 ICT 2024","Sat Mar 02 22:41:55 ICT 2024","2","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","Then Annisa should see the product in the cart",""
